66;521;556;0;16;315;610;198;6,8;78;0,75;30
62;350;42;0;19;736;1104;176;7;80;0,16;8
75;420;100;0;16;873;715;228;5,7;24;0,75;30
58,2;400;0;120;16;427,7;1295,6;160;6;60;0,5;30
72;350;561;150;16;494;816;164,5;4,2;40;0,9;60
60;500;40;0;19;687;1030;173;10;160;0,16;8
57,5;390;0;210;16;742;776;186;3;78,5;0,92;32,2
65;480;0;0;16;1087;592;192;10,87;46,8;0,55;35
63;350;0;150;16;865,3;787;200;12,5;60;0,75;30
52;350;42;0;19;736;1104;176;7;160;0,5;30
73;350;561;150;16;494;816;164,5;4,2;50;0,75;30
70;475;0;0;20;801;763;200;5,1;24;0,55;30
65,5;390;0;210;16;749;783;186;3;39,3;0,92;23
67;824;308;0;16;315;610;198;8,2;78;0,75;30
69;350;0;150;16;744;755;235;5;30;0,75;60
65;350;0;150;16;741;752;235;7,5;45;0,75;60
76;500;275;0;10;700;833;138;19;39;0,6;30
64;400;40;0;19;720;1080;176;8;80;0,16;8
66;350;0;150;16;738;749;235;8;60;0,75;60
65;350;30;100;16;870;750;140;5,6;19,6;0,9;60
79;420;0;180;10;777;636;120;3,6;39;0,16;13
63;639;460;0;16;315;610;198;7,2;78;0,75;30
81;420;200;0;16;819;670;228;5,7;24;0,75;30
62;500;40;0;19;687;1030;173;10;80;0,5;30
61;400;40;0;19;720;1080;176;8;80;0,5;30
59;500;40;0;19;687;1030;173;10;160;0,16;13
68;500;40;0;19;687;1030;173;10;40;0,16;8
72;350;0;150;16;865;798;200;4,4;50;0,3;55
58;350;42;0;19;736;1104;176;7;80;0,5;30
67;400;40;0;19;720;1080;176;8;40;0,16;8
85;420;100;0;8;1399;0;285,6;6,3;24;0,75;30
70;250;70;250;19;924;549;205;11,8;60;0,16;6
58;350;42;0;19;736;1104;176;7;120;0,16;13
66;250;70;250;19;889;530;226;11,8;60;0,55;30
62;400;40;0;19;720;1080;176;8;80;0,16;13
70;420;24,7;49,4;10;695;1042;123,5;20;58,9;1;50
61;420;24,7;49,4;10;695;1042;123,5;20;78,5;0,25;6,5
63;350;42;0;19;736;1104;176;7;40;0,5;30
66;350;0;150;16;865,3;793,8;200;12,5;40;0,75;30
68;490;0;0;8;808;808;201;19;40;0,8;30
67;420;24,7;49,4;10;695;1042;123,5;20;78,5;1;50
66;500;40;0;19;687;1030;173;10;40;0,5;30
56;350;42;0;19;736;1104;176;7;120;0,5;30
66;500;58;0;16;1080;420;200;7;50;0,7;30
63;350;0;150;16;865,3;787;200;12,5;60;0,75;30
58;400;40;0;19;720;1080;176;8;160;0,16;13
71;350;561;150;16;494;816;164,5;4,55;20;0,16;13
59;390;0;210;16;735;769;186;2,9;117,8;0,92;23
66;400;40;0;16;874;715;240;6;24;0,75;30
64;350;0;150;16;865,3;793,8;200;12,5;40;0,9;60
65;390;0;210;16;735;769;186;2,9;117,8;0,92;13,8
66;480;0;0;16;1087;592;192;11,3;46,8;0,55;30
64;350;42;0;19;736;1104;176;7;40;0,16;13
61;500;40;0;19;687;1030;173;10;120;0,16;13
66;490;0;0;8;808;808;201;19;80;0,4;12,5
71;350;561;150;16;494;816;164,5;4,2;10;0,16;13
64;490;0;0;8;808;808;201;19;120;0,8;30
63;500;40;0;19;687;1030;173;10;80;0,16;13
67;350;0;150;16;738;749;235;5;60;0,75;60
67;490;0;0;8;808;808;201;19;80;0,8;30
58;500;40;0;19;687;1030;173;10;120;0,5;30
57;500;40;0;19;687;1030;173;10;240;0,16;8
71;350;561;150;16;494;816;164,5;4,55;90;0,75;30
68;350;0;150;16;741;752;235;5,5;45;0,75;60
65;400;40;0;19;720;1080;176;8;40;0,5;30
71;400;40;0;19;720;1080;176;8;0;0;0
68;475;0;0;20;813;743;200;5,1;39;0,55;30
67;350;0;150;16;744;755;235;7,3;30;0,75;60
71;350;0;150;16;738;749;235;6;60;0,75;60
66;350;42;0;19;736;1104;176;7;40;0,16;8
61;350;42;0;19;736;1104;176;7;80;0,16;13
65;420;24,7;49,4;10;695;1042;123,5;20;78,5;1;50
64;350;30;100;16;870;750;140;5,6;39,2;0,75;30
64;480;0;0;16;1087;592;192;10,43;46,8;1;50
69;350;0;150;16;865;797;200;4,4;50;0,6;80
56,5;390;0;210;16;735;769;186;2,9;117,8;0,92;32,2
67,5;500;70;0;19;977;578;200;9,5;60;0,16;6
59;400;40;0;19;720;1080;176;8;160;0,16;8
69,2;400;0;120;16;431,7;1307,7;160;6;15;0,5;30
60,5;390;0;210;16;749;783;186;3;39,3;0,92;32,2
66;390;0;210;16;742;776;186;3;78,5;0,92;13,8
63;380;80;0;16;901;737;216;5,4;55;0,75;30
75;350;0;150;16;865;797;200;4,4;46;0,1;40
67;500;40;0;19;687;1030;173;10;40;0,16;13
68;490;0;0;8;808;808;201;19;40;0,4;12,5
72;350;0;150;16;865;797;200;4,4;50;0,35;64
72;350;561;150;16;494;816;164,5;5,25;25;0,75;30
54;350;0;150;16;865,3;787;200;12,5;60;0,9;60
68;350;30;100;16;870;750;140;5,6;19,6;0,75;30
54;350;0;150;16;865,3;787;200;12,5;60;0,9;60
64;490;0;0;8;808;808;201;19;120;0,4;12,5
62;500;70;0;19;977;578;200;9,5;60;0,55;30
64,5;400;0;120;16;430,4;1303,8;160;6;30;0,5;30
65;500;40;0;19;687;1030;173;10;80;0,16;8
54;350;42;0;19;736;1104;176;7;160;0,16;13
66,7;413;353;0;19;908;640;127,8;7,8;60;0,5;30
69;350;0;150;16;744;755;235;4,5;30;0,75;60
74;350;561;150;16;494;816;164,5;4,2;55;0,9;60
60,3;400;0;120;16;429;1299,7;160;6;45;0,5;30
79;420;0;180;10;777;636;120;4,2;39;0,55;35
77;420;200;0;16;819;670;228;5,7;55;0,75;30
59;350;30;100;16;870;750;140;5,6;58,8;0,9;60
80;420;0;180;10;777;636;120;4,2;78;0,16;13
61;350;30;100;16;870;750;140;5,6;58,8;0,75;30
73;350;561;150;16;494;816;164,5;5,25;20;0,9;60
67;350;0;150;16;741;752;235;4,5;45;0,75;60
75;400;140;0;16;819;670;240;6;24;0,75;30
72;420;24,7;49,4;10;695;1042;123,5;20;66,7;0,25;6,5
64;380;80;0;16;901;737;216;5,4;24;0,75;30
53;350;42;0;19;736;1104;176;7;240;0,16;8
56;400;40;0;19;720;1080;176;8;240;0,16;8
66;400;40;0;19;720;1080;176;8;40;0,16;13
70;500;70;0;16;1080;420;200;7;50;0,7;30
59;400;40;0;19;720;1080;176;8;120;0,16;13
67;440;623;0;16;315;610;198;6,6;78;0,75;30
63;390;0;210;16;742;776;186;3;78,5;0,92;23
56;350;42;0;19;736;1104;176;7;160;0,16;8
55;500;40;0;19;687;1030;173;10;160;0,5;30
55;400;40;0;19;720;1080;176;8;160;0,5;30
57;400;40;0;19;720;1080;176;8;120;0,5;30
63;350;30;100;16;870;750;140;5,6;39,2;0,9;60
68,5;390;0;210;16;749;783;186;3;39,3;0,92;13,8
